_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
2344,08-01-1968,"Near Quang Tri, South Vietnam",Military - U.S. Marine Corps,Sikorsky CH-53A (helicopter),42,42,0
2345,08-01-1968,"Tanana, Alaska",Tanana Air Taxi,Cessna 180H,2,5,0
2346,10-01-1968,"Near Copper Canyon, Nevada",Military - U.S. Marine Corps,Douglas C-54P,19,19,0
2347,13-01-1968,"Minot AFB, North Dakota",Military - US Air Force,KC-135,13,13,0
2348,15-01-1968,"Zifta, Egypt",United Arab Airlines,Douglas DC-3,4,4,0
2349,16-01-1968,"Iwakuni, Japan",Mililtary - U.S. Navy,Lockheed P-3A,12,12,0
2350,17-01-1968,"Minot AFB, North Dakota",Military - U.S. Air Force,Boeing KC-135A,13,13,0
2351,27-01-1968,"Moroni, Comoro Islands",Air Comores,de Havilland DH-114 Heron 1B,15,16,0
2352,06-02-1968,"Off Phu Quoc, Vietnam",Military - U.S. Navy,Lockheed P-3B Orion,12,12,0
2353,07-02-1968,"Rohtang Pass, Northern India",Military - Indian Air Force,Antonov AN-12BP,98,98,0
2354,07-02-1968,"Vancouver, Canada",Canadian Pacific Air Lines,Boeing B-707-138B,1,61,1
2355,16-02-1968,"Linkuo, Taiwan",Civil Air Transport,Boeing B-727-92C,21,63,1
2356,21-02-1968,"Eureka, Utah",Havasu City Air - Air Taxi,Cessna 210,3,3,0
2357,24-02-1968,"Ban Napa, Laos",Royal Air Lao,Douglas DC-3,37,37,0
2358,29-02-1968,"Near Bratsk, Russia",Aeroflot,Ilyushin IL-18D,82,82,0
2359,29-02-1968,"Near Bratsk, Russia",Aeroflot,Ilyushin IL-18D,83,84,0
2360,05-03-1968,"Near Khe Sanh, South Vietnam",Military - U.S. Air Force,Fairchild C-123K,49,49,0
2361,06-03-1968,"Basse-Terre, Guadeloupe, West Indies",Air France,Boeing B-707-328C,63,63,0
2362,08-03-1968,"Off Panay Island, Philippines",Air Manila,Fairchild F-27,14,14,0
2363,09-03-1968,"Near Saint Denis, Reunion",Military - French Air Force,Douglas DC6B,19,20,0
2364,19-03-1968,"Potters Cove, Rhode Island",Viking Airways - Air Taxi,Cessna 182,2,2,0
2365,23-03-1968,"St. Louis, Missouri",Fortaire Aviation - Air Taxi,Brantly 305,3,5,0
2366,24-03-1968,"Off Wexford Harbor, Ireland",Aer Lingus,Vickers Viscount 803,61,61,0
2367,27-03-1968,"St. Louis, Missouri",Ozark Air Lines / Private,McDonnell Douglas DC-9 and Cessna 150F,2,51,0
2368,27-03-1968,"Near Moscow, Russia",Military - Russian Air Force,MiG-15 UTI,2,2,0
2369,01-04-1968,"Off Phu Quoc, Vietnam",Military - U.S. Navy,Lockheed P-3B Orion,12,12,0
2370,08-04-1968,"Near Coyhaique, Chile",Ladeco,Douglas DC-3,36,36,0
2371,08-04-1968,"Heathrow Airport, London, England",British Overseas Airways,Boeing B-707-465,5,127,0
2372,10-04-1968,"Dahlonega, Georgia",Canair Corp. - Air Taxi,Cessna 182,4,4,0
2373,10-04-1968,"Near Mexico City, Mexico",Aerovias Rojas,Douglas DC-3,18,18,0
2374,19-04-1968,"Near Cheo Reo, South Vietnam",Military - U.S. Army / Military - U.S. Army,Bell UH-1H / Bell UH-1H (helicopter),26,26,0
2375,19-04-1968,"Mull of Kintyre, England",Military - Royal Air Force,Avro Shackleton MR-2,11,11,0
2376,20-04-1968,"Near Windhoek, South-West  Africa (Namibia)",South African Airways,Boeing B-707-344C,123,128,0
2377,22-04-1968,"Moscow, Russia",Aeroflot,Ilyushin IL-18V,5,5,0
2378,27-04-1968,"Carpenteria, California",Utility Helocopter - Air Taxi,Bell 206A,5,5,0
2379,30-04-1968,"Near Chaklala, West Pakistan",Military - Pakistan Air Force,Lockheed Martin L-100-10,22,22,0
2380,03-05-1968,"Near Dawson, Texas",Braniff Airlines,Lockheed L188A Electra,85,85,0
2381,07-05-1968,"Got el Afraq, Libya",Military - Royal Air Force,Armstrong Whitworth Argosy C-1,11,11,0
2382,12-05-1968,"Kham Duc, Vietnam",Military - U.S. Air Force,Lockheed C-130B Hercules,155,155,0
2383,14-05-1968,"Pelliston, Michigan",Phillips Flying Service - Air Taxi,Piper PA-23,4,4,0
2384,22-05-1968,"Paramount, California",Los Angeles Airways,Sikorsky S-61L helicopter,23,23,0
2385,28-05-1968,"Near Bombay, India",Garuda Indonesia Airlines,Convair CV-990-30A-5,29,29,1
2386,01-06-1968,"Vidalia, Georgia",Houston-Beech - Air Taxi,Cessna 411,3,4,0
2387,12-06-1968,"Calcutta, India",Pan American World Airways,Boeing B-707-321C,6,63,0
2388,18-06-1968,"San Sebastian, Spain",Rinaldo Piaggio,Piaggio PD-808,6,6,0
2389,22-06-1968,"Yuhnov, Russia",Military Soviet  Air Force - Aeroflot,Antonov An-12 - Ilyshin IL-14,120,120,0
2390,25-06-1968,"Near Bearcat, South Vietnam",Military - U.S. Army,Bell UH-1H / Bell UH-1H / Bell UH-1H,29,29,0
2391,28-06-1968,"Vichy, Missouri",Purdue Airlines Inc.,Douglas DC-3 (C-47-DL),1,27,0
2392,03-07-1968,"London, England",BKS Air Transport,Airspeed AS.57 Ambassador 2,6,8,0
2393,07-07-1968,"Ft. Lauderdale, Florida",Red Aircraft Service - Air Taxi,Piper PA-23,4,4,0
2394,08-07-1968,"Near Dhahran, Saudi Arabia",Saudi Arabian Airlines,Convair CV-340-68B,11,11,0
2395,13-07-1968,"Near Lagos, Nigeria",Sabena,Boeing 707-329C,7,7,0
2396,15-07-1968,"Gravata, Brazil",Varig,Curtiss C-46C,3,3,0
2397,18-07-1968,Off Chili,Aerolineas Flecha Austral,Curtiss C-46D,5,5,0
2398,28-07-1968,Near Recife Brazil,Military - U.S. Air Force,Douglas C-124C,10,10,0
2399,01-08-1968,"Jamestown, Rhode Island",Mid Island Air - Air Taxi,Cessna 182H,3,3,0
2400,02-08-1968,"Near Milan, Italy",Alitalia,McDonnell Douglas DC-8,13,95,0
2401,04-08-1968,"Milwaukee, Wisconsin",North Central Airlines / Private,Convair CV-580 / Cessna 150,3,15,0
2402,09-08-1968,"Pfaffenhofen, Germany",British Eagle International Airlines,Vickers Viscount 739A,48,48,0
2403,10-08-1968,"Charleston, West Virginia",Piedmont Airlines,Fairchild-Hiller FH-227B,35,37,0
2404,14-08-1968,"Compton, California",Los Angeles Airways,Sikorsky S-61L helicopter,21,21,0
2405,18-08-1968,"Off Port Said, Egypt",United Arab Airlines,Antonov AN-24V,40,40,0
2406,20-08-1968,"Near Maturin, Venezuela",Linea Aeropostal Venezolana,Hawker Siddeley HS-748-215-2,4,7,0
2407,28-08-1968,"Lopez, Washington",Island Sky Ferry - Air Taxi,Cessna 172,0,2,0
2408,31-08-1968,"Near Odda, Norway",Westwing,de Havilland Canada DHC-3 Otter,5,6,0
2409,03-09-1968,"Near Burgas, Bulgaria",Bulair TABSO,Ilyushin IL-18,47,89,0
2410,08-09-1968,"Flushing, New York",Far Aviation - Air Taxi / Speeds Flying - Air Taxi,Cessna 402 / Piper PA-28,2,9,0
2411,11-09-1968,"Off Cap d'Antibes, France",Air France,Sud-Aviation Caravelle 3,95,95,0
2412,24-09-1968,Wake Island,Military - U.S. Air Force,Boeing KC-135A,11,52,0
2413,28-09-1968,"Port Harcourt, Biafra, Nigeria",Pan African Airlines,Douglas C-54B,57,57,1
2414,01-10-1968,"Kenai, Alaska",Kenai Air Service - Air Taxi,Beechcraft D50A,3,3,0
2415,03-10-1968,"Near Camp Evans, South Vietnam",Military - U.S. Air Force / Military -  U.S. Army,de Havilland C-7B / Boeing Vertol CH-47A,25,25,0
2416,08-10-1968,"Las Vegas, Nevada",Catalina - Vega - Air Taxi,de Havilland DH-104,4,4,0
2417,08-10-1968,"Puerto Cortes, Costa Rica",Aerovias del Valle,Britten-Norman BN-2 Islander,10,10,0
2418,10-10-1968,"Derry, Pennsylvania",Augusta Aviaiton - Air Taxi,Piper PA-23,2,3,0
2419,11-10-1968,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Avia 14-40,11,40,0
2420,19-10-1968,"Near Izmir, Turkey",Military - Turkish Air Force,Lockheed C-130E Hercules,10,10,0
2421,20-10-1968,"Feij????, Brazil",Cruzeiro,Douglas C-47A-25,19,19,0
2422,21-10-1968,"Near Ban Me Thuot, South Vietnam",Military - U.S. Air Force,Douglas C-47D,23,23,0
2423,25-10-1968,"Hanover, New Hampshire",Northeast Airlines,Fairchild-Hiller FH227C,32,42,0
2424,21-11-1968,"Barrow, Alaska",Barrow Air Service - Air Taxi,Aero Commander 680-E,7,8,0
2425,22-11-1968,"Off San Francisco, California",Japan Air Lines,McDonnell Douglas DC-8-62,0,107,0
2426,23-11-1968,"Santa Ana, California",Cable Commuter,de Havilland Canada DHC-6 Twin Otter 200,9,9,0
2427,25-11-1968,"Savannakhet, Laos",Air America,Curtiss C-46D-20-CU,26,28,0
2428,26-11-1968,"Point Baker, Alaska",Stikine Air Service - Air Taxi,Cessna 185,2,5,0
2429,02-12-1968,"Pedro Bay, Alaska",Wien Consolidated Airlines,Fairchild F-27B,39,39,0
2430,06-12-1968,"St. Thomas, Virgin Islands",Conquest Airways - Air Taxi,Beechcraft E18S,3,11,0
2431,08-12-1968,"Wolf Creek, Montana",Northwest Moon - Air Taxi,Aero Commander 560-F,3,3,0
2432,12-12-1968,"Near Caracas, Venezuela",Pan American World Airways,Boeing B-707-321B,51,51,0
2433,24-12-1968,"Bradford, Pennsylvania",Allegheny Airlines,Convair CV-580,20,47,0
2434,24-12-1968,"Prudhoe Bay, Alaska",Interior Airways,Lockheed L-100 Hercules,2,4,0
2435,26-12-1968,"Ensenada, Mexico",Exportada De Sal S.A.,Douglas DC-3,12,12,0
2436,26-12-1968,"Elmendorf Air Force Base, Alaska",Pan American World Airways,Boeing 707-321CF,3,3,0
2437,27-12-1968,"Chicago, Illinois",North Central Airlines,Convair CV-580,27,45,1
2438,31-12-1968,"Near Ciudad Victoria, Mexico",Servicios A????reos Especiales,Douglas DC-3,26,26,0
2439,31-12-1968,"Port Hedland, WA, Australia",MacRobertson Miller Airlines,Vickers Viscount 720,26,26,0
2440,02-01-1969,"Tyonek, Alaska",ERA Helicopter,Bell 205A,2,2,0
2441,02-01-1969,"Mt. Paku, Taiwan",China Airlines (Taiwan),Douglas DC-3D,24,24,0
2442,05-01-1969,"Gatwick Airport, Horley, Surrey,  England",Ariana Afghan Airlines,Boeing B-727-113C,48,62,2
2443,06-01-1969,"Near Bradford, Pennsylvania",Allegheny Airlines,Convair CV-580,11,28,0
2444,06-01-1969,"Mt. Tawu, Thailand",China Air Lines,Douglas DC-3,24,24,0
2445,13-01-1969,"Shemya, Alaska",Military - US Air Force,Boeing RC 135S,18,18,NA
2446,13-01-1969,"Off Los Angeles, California",Scandinavian Airlines (SAS),McDonnell Douglas DC-8-62,15,45,0
2447,16-01-1969,"Near Hue, Vietnam",Air America,?,12,12,0
2448,18-01-1969,"Off Los Angeles, California",United Air Lines,Boeing B-727-22QC,38,38,0
2449,04-02-1969,Off  Taiwan,Military - U.S. Air Force,Lockheed HC-130H Hercules,13,13,0
2450,05-02-1969,"Port Angeles, Washington",Puget Sound Air - Air Taxi,Beechcraft C-45H,10,10,0
2451,05-02-1969,"Off Batan Islands, Philippines",Military - U.S. Air Force,Lockheed C-130H,13,14,0
2452,18-02-1969,"Near Lone Pine, California",Mineral County Airlines,Douglas DC-3,35,35,0
2453,24-02-1969,"Tainan, Taiwan",Far Eastern Air Transport,Handley Page Dart Herald 201,36,36,0
2454,05-03-1969,"San Juan, Puerto Rico",Prinair,de Havilland DH-114 Heron 2D,19,19,0
2455,08-03-1969,"Ching Chuan Kang AB, Taiwan",Military - U.S. Air Force,Lockheed C-130E Hercules,12,12,0
2456,08-03-1969,Atlantic Ocean,Continental Air Transport,Douglas DC-4,3,3,0
2457,13-03-1969,"Minchumina, Alaska",Wien Consolidated Airlines,de Havilland DHC-6,1,5,0
2458,16-03-1969,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,McDonnell Douglas DC-9-32,84,84,71
2459,19-03-1969,"Kansas City, Kansas",Leamon Flying Service,Bell 47G2A1 / Cessna 150H,3,3,0
2460,20-03-1969,"New Orleans, Louisiana",Avion Airways,Douglas DC-3,16,27,0
2461,20-03-1969,"Near Aswan, Egypt",United Arab Airlines,Ilyushin IL-18D,100,105,0
2462,02-04-1969,"Off New Providence Island, Bahamas",Islands of the Bahamas Inc,Curtiss C-46F,2,2,0
2463,02-04-1969,"Zawoja, Poland",LOT Polish Airlines,Antonov AN-24V,53,53,0
2464,02-04-1969,"Near Quang Tri, South Vietnam",Military - U.S. Army,Boeing Vertol CH47C (helicopter),24,78,0
2465,07-04-1969,"Sept-????les, Quebec, Canada",Air Canada,Vickers 757 Viscount,1,21,0
2466,15-04-1969,"Off Chongjin, North Korea",Military - U.S. Navy,Lockheed EC-121M,31,31,0
2467,16-04-1969,"Kinshasa, Zaire",Wigmo,Curtiss C-46,45,45,0
2468,19-04-1969,"Craig, Alaska",Simpson Air Service - Air Taxi,de Havilland DHC-2,9,9,0
2469,21-04-1969,"Khulna, East Pakistan",Indian Airlines,Fokker F-27 Friendship 100,44,44,0
2470,24-04-1969,"Near Takoradi, Ghana",Ghana Airways,Douglas DC-3,1,33,0
2471,25-04-1969,"Near Nakhon Ratchasima , Thailand",Military - U.S. Air Force,Lockheed EC121R,18,18,0
2472,05-05-1969,"Las Higueras, Argentina",Argentina CAA,Douglas DC-3,11,11,0
2473,05-05-1969,"Rio Cuarto, Argentina",Military - Argentine Air Force,Douglas C-47A,11,11,0
2474,06-05-1969,"Near Chon Thanh, South Vietnam",Military - U.S. Army,Boeing Vertol CH47A (helicopter),30,74,0
2475,07-05-1969,"Medford, New Jersey",Flying W Airways,Curtiss C-46F,2,2,0
2476,23-05-1969,"Near Lashio, Burma",Union of Burma Airways,Douglas C-47,6,6,0
2477,25-05-1969,"Reggio di Calabria, Italy",Aero Transporti Italiani,Fokker F-27 Friendship 600,1,36,0
2478,04-06-1969,"Near Salinas Victoria, Nuevo Leon, Mexico",Compania Mexicana de Aviacion,Boeing B-727-64,79,79,0
2479,05-06-1969,"Off Andreanof Islands, Alaska",Military - U.S. Air Force,Boeing RC-135E,19,19,0
2480,05-06-1969,"North Bend, Oregon",Eureka Aero Inc. - Air Taxi,Cessna 337C,3,3,0
2481,20-06-1969,"Pasco, Washington",Cascade Airways,Beechcraft 99,2,2,0
2482,23-06-1969,"Near Poroslitsy, Russia",Aeroflot,Ilyushin IL-14M / Antonov An-12BP,120,120,0
2483,28-06-1969,"Near Talas, Kyrgyzstan",Aeroflot,Ilyushin IL-14,40,40,0
2484,29-06-1969,"Agra, India",Military - Indian Air Force,Fairchild C-119,14,14,0
2485,06-07-1969,"Near Monroe, Georgia",Air South,Beechcraft B-99,14,14,0
2486,12-07-1969,"Hitauda, Nepal",Royal Nepal Airlines,Douglas DC-3,35,35,0
2487,13-07-1969,"Barrow, Alaska",Interior Airways - Air Taxi,Grumman G-44A,2,2,0
2488,15-07-1969,"New York City, New York",New York Airways,de Havilland Canada DHC-6 Twin Otter 200,3,14,0
2489,24-07-1969,"Sparrevohn, Alaska",Safeway Airways,Cessna 320,4,4,0
2490,25-07-1969,"Kekaha, Hawaii",Trans Isle Air,De Havilland DH-104 Dove,1,13,0
2491,26-07-1969,"Biskra, Algeria",Air Algerie,Sud Aviation SE-210 Caravelle 6N,33,37,0
2492,26-07-1969,"Atlantic City, New Jersey",Trans World Airlines,Boeing 707-331C,5,5,0
2493,30-07-1969,"Grand Canyon, Arizona",Halvorson - Air Taxi,Bell 47G3B1,3,3,0
2494,03-08-1969,"Preobrazhenka, Ukraine",Aeroflot,Antonov An-24B,55,55,0
2495,03-08-1969,"Uli , Nigeria",Canairelief Air,Lockheed L-1049H Super Constellation,4,4,0
2496,05-08-1969,"Niagra Falls, Canada",Prior Aviatoin - Air Taxi,Bell 47G-2,3,3,0
2497,19-08-1969,"Near Long Tieng, Laos",Air America,Pilatus Pc-6C,13,13,0
2498,25-08-1969,"Sucre, Ecuador",TAO,Douglas C-47B,1,1,0
2499,26-08-1969,"Moscow, Russia",Aeroflot,Ilyushin IL-18,16,102,0
2500,31-08-1969,"Newton, Iowa",Private Charter,Cessna 172H,3,3,0
2501,01-09-1969,"Cross Bay, Russia",Aeroflot,Ilyushin IL-14P,22,27,0
2502,02-09-1969,"Near Pakse, Laos",Military - Royal Lao Air Force,Douglas C-47,35,35,0
2503,06-09-1969,"Korat Air Base, Thailand",Military - U.S. Air Force,Lockheed EC121R,4,16,4
2504,06-09-1969,"Quito, Ecuador",TAME Ecuador,Douglas DC-3,1,16,NA
2505,08-09-1969,"Near Medina, Colombia",SATENA,Douglas DC-3,32,32,0
2506,09-09-1969,"Near Fairland, Indiana",Allegheny Airlines / Forth Corporation,MD Douglas DC-9-31/Piper Cherokee PA-28,83,83,0
2507,12-09-1969,"Near Antipolo, Philippines",Philippine Air Lines,BAC One-Eleven 402AP,45,47,0
2508,14-09-1969,"Londrina-Parana, Brazil",VASP,Douglas DC-3,20,21,0
2509,17-09-1969,"Campbell River, Canada",Pacific Western Airlines,Convair CV-640,4,15,0
2510,20-09-1969,"Near Hoi An, Vietnam",Air Vietnam (South Vietnam),Douglas DC-4 / USAF F-4E,74,76,2
2511,21-09-1969,"Mexico City, Mexico",Mexicana,Boeing B-727-64,27,118,0
2512,26-09-1969,"Uli, Nigeria",Nordchurchaid,Boeing C-97,5,5,0
2513,26-09-1969,"Near La Paz, Bolivia",Lloyd Aereo Boliviano,Douglas DC-6B,74,74,0
2514,02-10-1969,Gulf of Tonkin,Military - U.S. Navy,Grumman C-2A,26,26,0
2515,03-10-1969,"Denver, Colorado",Metro Commuter - Air Taxi,Beechcraft 65-B80,5,5,0
2516,13-10-1969,"Nizhnevartovsk, Russia",Aeroflot,Antonov An-24B,24,56,0
2517,09-11-1969,"Timmins, Ontario ,Canada",Austin Airways,Douglas C-47B,2,4,0
2518,12-11-1969,"Point Alexander, Alaska",Channel Flying Service - Air Taxi,Cessna 180H,2,2,0
2519,13-11-1969,"Near Anderma, Russia",Aeroflot,Antonov An-12TB,12,12,0
2520,19-11-1969,"Mt. Pilot Knob, Glens Falls, New York",Mohawk Airlines,Fairchild-Hiller FH-227B,14,14,0
2521,20-11-1969,"Near Ikeja, Nigeria",Nigeria Airways,BAC VC-10-1101,87,87,0
2522,04-12-1969,"Off Caracas, Venezuela",Air France,Boeing B-707-328B,62,62,0
2523,05-12-1969,"Nnear Albuquerque, New Mexico",Private,Lockheed 18-08 Lodestar,9,9,0
2524,06-12-1969,"Near Khantanga, Russia",Aeroflot,Antonov An-12PL,8,8,0
2525,08-12-1969,"Near Keratea, Greece",Olympic Airways,Douglas DC-6B,90,90,0
2526,10-12-1969,"Passadumkeag, Maine",Aroostook Air - Air Taxi,Piper PA-23,3,3,0
2527,10-12-1969,"Off Makhachkala , Russia",Aeroflot,Ilyushin 14P,17,17,0
2528,22-12-1969,"Nha Trang, Vietnam",Air Vietnam (South Vietnam),Douglas DC-6B,10,77,24
2529,22-12-1969,"Near San Diego, California",Military U.S. Navy,LTVF-8J,0,1,14
2530,23-12-1969,"Near Luang Prabang, Laos",Laos Air,Douglas C-47A-25-DK,6,6,0
2531,01-01-1970,"Nulato, Alaska",Galena Air Service - Air Taxi,Cessna 180,2,4,0
2532,05-01-1970,"Stockholm, Sweden",Spantax,Convair CV-990-30A-5,5,10,0
2533,12-01-1970,Near Villia Greece,Military - Royal Hellenic Air Force,Douglas C-47,23,27,0
2534,13-01-1970,"Faleolo, Western Samoa",Polynesian Airlines,Douglas DC-3,32,32,0
2535,14-01-1970,"Mt. Pumacona, Peru",Faucett,Douglas DC-4,28,28,0
2536,24-01-1970,"Portage, Michigan",Buckeye Air Service - Air Taxi,Beechcraft TC-45J,2,2,0
2537,25-01-1970,"Near Delhi, India",Royal Nepal Airlines,Fokker F-27 Friendship 200,1,23,0
2538,25-01-1970,"Near Poza Rica, Mexico",Charter -Federal Electricity Commission,Convair CV-240-2,19,19,0
2539,28-01-1970,"Near Batagai, Russia",Aeroflot,Antonov AN-24,34,34,0
2540,28-01-1970,"Cleveland, Ohio",TAG Airlines,De Havilland Dove,9,9,0
2541,29-01-1970,"Near Murmansk, Russia",Aeroflot,Tupolev TU-124,11,11,0
2542,04-02-1970,"Apuseni mountains, Romania",Tarom,Antonov AN-24V,21,22,0
2543,04-02-1970,"Near Corrientes, Argentina",Aerolineas Argentinas,Hawker Siddeley HS-748 1,37,37,0
2544,06-02-1970,"Near Samarkand, USSR",Aeroflot,Ilyushin IL-18V,92,106,0
2545,10-02-1970,"Long Island Sound, Connecticut",Pilgrim Airlines,de Havilland Canada DHC-6 Twin Otter 100,5,5,0
2546,12-02-1970,"Puerto Infrida, Colombia",Lineas A????reas La Urraca,Douglas DC-3 (C-47-DL),12,12,2
2547,13-02-1970,"Pin-la-Garenne, France",Avia-Taxi,Cessna 402,10,10,0
2548,15-02-1970,"Off Santo Domingo, Dominican Republic",Compania Dominicana de Aviacion,McDonnell Douglas DC-9-32,102,102,0
2549,18-02-1970,"Elizabeth, New Jersey",Suburban Airlines - Air Taxi,Cessna 402,4,4,0
2550,19-02-1970,Congo,Air Congo,Douglas DC-3,17,17,0
2551,21-02-1970,"Zurich, Switzerland",Swissair,Convair CV-990-30A-6,47,47,0
2552,06-03-1970,"St. Moritz, Switzerland",Bavaria Flug,Handley Page Jetstream 1,11,11,0
2553,14-03-1970,"Belem Bay, Brazil",Paraense Transportes Aereos,Fairchild-Hiller FH-227B,38,40,0
2554,16-03-1970,"Near Da Nang, South Vietnam",Military - U.S. Navy,Lockheed EC-121P,23,31,0
2555,22-03-1970,"Binghamton, New York",Commuter Airline - Air Taxi,Beechcraft C-45H,3,11,0
2556,26-03-1970,"Colorado City, Arizona",Grand Canyon Airlines,Piper PA-32,6,6,0
2557,01-04-1970,"Novosibirsk, Russia",Aeroflot,Antonov AN-24V,45,45,0
2558,01-04-1970,"Casablanca, Morocco",Royal Air Maroc,Aerospatiale Caravelle 3,61,82,0
2559,02-04-1970,"Cambridge, Maryland",East Coast Air - Air Taxi,Piper PA-32,3,3,0
2560,04-04-1970,"Zaporozhye, Ukraine",Aeroflot,Ilyushin IL-14P,7,35,0
2561,20-04-1970,"Psebai, Russia",Aeroflot,Antonov An-2R,14,14,0
2562,21-04-1970,"Dak Seang, Laos",Military - U.S. Air Force,Lockheed AC-130A Hercules,10,10,0
2563,21-04-1970,"Manila, Philippines",Philippine Air Lines,Hawker Siddeley HS-748-209,36,36,0
2564,25-04-1970,"Rivolto, Italy",Military - Italian Air Force,Fairchild C-119G,19,19,0
2565,28-04-1970,"Kainatu,  New Guinea",Trans Australia Airlines,de Havilland Canada DHC-6 Twin Otter 100,8,11,0
2566,30-04-1970,"Santa Bernardina, Uruguay",Military - U.S. Air Force,Fairchild C123,17,17,0
2567,02-05-1970,"Near St. Croix, US Virgin Islands",Antillean Airlines,McDonnell Douglas DC-9-33CF,23,63,0
2568,04-05-1970,"Hamilton AFB, California",Military - U.S. Air Force,Convair CV-240,13,14,0
2569,06-05-1970,"Mogadishu, Somalia",Somali Airlines,Vickers 785D Viscount,5,30,0
2570,09-05-1970,"Iligan, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,1,33,0
2571,09-05-1970,"Pellston, Michigan",Executive Jet Sales Inc.,Gates Learjet 23,6,6,0
2572,15-05-1970,"Kishiniev, Moldavia, USSR",Aeroflot,Antonov AN-10,11,11,0
2573,22-05-1970,"Off Puntarenas, Costa Rica",Linea Aeropostal Venezolana LAV,Curtiss C-46A-55-CK,6,6,0
2574,26-05-1970,"Near Tegucigalpa, Honduras",Aeroservicios,de Havilland DH-114 Heron 1B,6,6,0
2575,30-05-1970,"Chamblee, Georgia",Lehigh Acres Development Inc.,Martin 404,1,33,5
2576,01-06-1970,"Tripoli, Libya",Ceskoslovenske Aerolinie,Tupolev TU-104A,13,13,0
2577,02-06-1970,"Roxas, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,1,44,0
2578,10-06-1970,"Near Huaricanga, Peru",LADE,Fokker F-27 Friendship 400M,5,8,0
2579,03-07-1970,"McGrath, Alakska",Reeder Flying Service,Douglas DC-3,5,27,0
2580,03-07-1970,"Near Arbucias, Gerona, Spain",Dan Air Services,de Havilland Comet 4,112,112,0
2581,05-07-1970,"Toronto, Canada",Air Canada,McDonnell Douglas DC-8-63,109,109,0
2582,18-07-1970,North Atlantic Ocean,Military - Soviet Air Force,Antonov AN-22,23,23,0
2583,24-07-1970,"Lincoln, New Mexico",Del Rio Flying Service - Air Taxi,Cessna 310J,7,7,0
2584,27-07-1970,"Tokyo, Japan",Flying Tiger Line,McDonnell Douglas DC-8-63AF,4,4,0
2585,30-07-1970,"Pau, France",Military - Forces Militaires Fran????aises,Nord 2501 Noratlas,37,37,0
2586,03-08-1970,"Near Las Vegas, Nevada",Military - United States Navy,Lockheed P-3A Orion,10,10,0
2587,06-08-1970,"Islamabad, Pakistan",Pakistan International Airlines,Fokker F-27 Friendship 200,30,30,0
2588,09-08-1970,"Near Cuzco, Peru",Lineas Aereas Nacionales SA (Peru),Lockheed 188A Electra,99,100,2
2589,12-08-1970,"Taipei, Taiwan",China Airlines (Taiwan),NAMC YS-11A-219,14,31,0
2590,26-08-1970,"Near Tam Ky, South Vietnam",Military - U.S. Army,Boeing Vertol CH47B (helicopter),30,32,0
2591,29-08-1970,"Near Silchar, India",Indian Airlines,Fokker F-27 Friendship 400,39,39,0
2592,30-08-1970,"Haringvreter, Netherlands",Dutch Continental Airways,Britten-Norman BN-2A Islander,3,10,0
2593,02-09-1970,"Lihovka, Ukraine",Aeroflot,Tupolev Tu-124,37,37,0
2594,02-09-1970,"Near Dnepropetrovsk, Ukraine, USSR",Aeroflot,Tupolev TU-124,37,37,0
2595,03-09-1970,"Near Leningrad, USSR",Aeroflot,Yakovlev YAK-40,22,22,0
2596,08-09-1970,"New York, New York",Trans International Airlines,McDonnell Douglas DC-8-63CF,11,11,0
2597,09-09-1970,"Orocovis, Puerto Rico",San Juan Air,Britten-Norman BN-2A Islander,1,1,0
2598,22-09-1970,"Cranbrook, Canada",Eagle Flight - Air Taxi,Cessna T337B,4,4,0
2599,26-09-1970,"Near Vagar, Faeroe Islands, Denmark",Icelandair,Fokker F-27 Friendship 300,8,34,0
2600,30-09-1970,"Near Da Nang, Vietnam",Air Vietnam (South Vietnam),Douglas DC-3-DST,38,38,0
2601,01-10-1970,"Mys-Kammenyj, Russia",Aeroflot,Antonov An-12B,8,8,0
2602,02-10-1970,"Mt. Trelease, near Silver Plume, Colorado","Charter, Golden Eagle Aviation Inc.",Martin 404,32,40,0
2603,02-10-1970,"Near Taipei, Taiwan",Military - U.S. Air Force,Lockheed C-130E,43,43,0
2604,04-10-1970,"Mahaffey, Pennsylvania",Private,Aero Commander 500-B,2,2,0
2605,06-10-1970,"Near Germiston, South Africa",National Airways,Douglas DC-3,3,11,0
2606,10-10-1970,"Fort Dix, New Jersey",Saturn Airways,Lockheed L-100-20 Hercules,3,3,0
2607,16-10-1970,"New Castle, Delaware",Delaware Aviation - Air Taxi,Piper PA-28R,2,2,0
2608,28-10-1970,"Pointe-????-Pitre, Guadeloupe",Aerocosta Colombia,Curtiss C-46D,2,4,0
2609,14-11-1970,"Near Huntington, West Virginia",Southern Airways,McDonnell Douglas DC-9-31,75,75,0
2610,24-11-1970,"Nar Can Tho, South Vietnam",Military - Vietnamese Air Force / Military - U.S. Army,de Havilland RU-6A Beaver /Bell UH-1H,18,18,0
2611,27-11-1970,"Anchorage, Alaska",Capitol Airlines,McDonnell Douglas DC-8-63CF,47,229,0
