_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
1419,22-05-1954,"Paraparaumu, New Zealand",New Zealand National Airways,Douglas DC-3,3,28,0
1420,31-05-1954,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,Douglas DC-3,19,19,0
1421,03-06-1954,"Near Maribor, Slovenia",Sabena,Douglas C-47A,1,4,0
1422,04-06-1954,"Sao Paulo, Brazil",Varig,Curtiss C-46A,3,3,0
1423,08-06-1954,"Da Nang, Vietnam",Soc. de Tr. A????riens d'Extr????me Orient,Douglas C-47-DL,4,4,0
1424,19-06-1954,"Off Folkestone, England",Swissair,Convair CV-240-4,3,9,0
1425,02-07-1954,"Near Salvador, Brazil",Military - Brazilian Air Force,Lockheed C-28,24,24,0
1426,23-07-1954,"Off Hainan Island, China",Cathay Pacific Airways,Douglas DC-4,10,18,0
1427,08-08-1954,"Near McGrath, Alaska",Alaska Airlines,Douglas DC-2,2,2,0
1428,09-08-1954,"Terceira Island, Azores, Portugal",AVIANCA,Lockheed 749A-79 Constellation,30,30,0
1429,12-08-1954,Vietnam,Autrex,Douglas DC-3,3,3,0
1430,16-08-1954,"Near Pakse, Laos",Air Vietnam (South Vietnam),Bristol 170 Freighter 21E,47,55,0
1431,22-08-1954,"Near Mason City, Iowa",Braniff Airlines,Douglas DC-3,12,19,0
1432,23-08-1954,"Off IJuuiden, North Sea",KLM Royal Dutch Airlines,Douglas DC-6B,21,21,0
1433,26-08-1954,"Sakhalin Oblast, Russia",Aeroflot,Li-2,26,27,1
1434,27-08-1954,"Near Rapid City, South Dekota",Military - U.S. Air Force,Convair RB-36H,26,27,0
1435,05-09-1954,"Foynes, Ireland",KLM Royal Dutch Airlines,Lockheed 1049C-55-81 S Constellation,28,56,0
1436,12-09-1954,"Off Rio de Janeiro, Brazil",Cruzeiro,Douglas DC-3,7,26,0
1437,15-09-1954,"Cairo, Egypt",Misrair,Vickers 634 Viking,3,4,0
1438,27-09-1954,"Novosibirsk, Russia",Aeroflot,Ilyushin IL-12,29,29,0
1439,24-10-1954,"Near Nice, Italy",Military - U.S. Air Force,Douglas C-47A-DL,21,21,0
1440,28-10-1954,"Krasnoyarsk Territory, Russia",Aeroflot,Ilyushin IL -12,16,16,0
1441,30-10-1954,"Off Ocean City, Maryland",Military - U.S. Navy,Lockheed R7V-1,42,42,0
1442,31-10-1954,"Mangalore, Australia",TAA,Vickers 720 Viscount,3,8,0
1443,16-11-1954,"Jirishanga,Cerro de Pasco, Peru",TAM (Brazil),Douglas DC-3,24,24,0
1444,30-11-1954,"Berlin, New Hampshire",Northeast Airlines,Douglas DC-3,2,7,0
1445,04-12-1954,"Near Luang Pragang, Laos",Air Laos,Douglas DC-3,28,28,0
1446,12-12-1954,"Bratislava, Slovakia",Ceskoslovensk???? Aerolinie,Douglas C-47A,4,4,0
1447,18-12-1954,"Near Bolivar, Venezuela",Linea Aeropostal Venezolana,Douglas C-47A,2,2,0
1448,18-12-1954,"New York, New York",Linee Aeree Italiane,Douglas DC-6B,26,32,0
1449,22-12-1954,"Pittsburgh, Pennsylvania",Johnson Flying Service,Douglas DC-3,10,28,0
1450,25-12-1954,"Prestwick, Ayrshire, Scotland",British Overseas Airways,Boeing B377-10-28 Stratocruiser,28,36,0
1451,29-12-1954,"Near Moscow, Russia",Aeroflot,?,45,45,0
1452,31-12-1954,"Irkutsk, Russia",Aeroflot,Ilyushin 14,17,17,0
1453,01-01-1955,"Near Anchorage, Alaska",Military - US Air Force,Douglas C47,12,12,0
1454,11-01-1955,"Off Skellings, Ireland",Military -Royal Air Force,Avro Shackleton M-2 / Avro Shakleton M-2,18,18,0
1455,12-01-1955,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,Martin 202A / DC-3,15,15,0
1456,19-01-1955,"Des Moines, Iowa",United Air Lines,Convair CV-340,0,39,0
1457,31-01-1955,"Lapadrera, Colombia",Interamericana de Aviacion,Consolidated PBY-5 Catalina,5,5,0
1458,02-02-1955,"Nagpur, India",Indian Airlines,Douglas DC-3,10,10,0
1459,05-02-1955,"Near Calabar, Nigeria",West African Airways,Bristol 170 Freighter 21E,13,13,0
1460,13-02-1955,"Abruzzio Mountains, Italy",Sabena,Douglas DC-6,29,29,0
1461,19-02-1955,"Albuquerque, New Mexico",Trans World Airlines,Martin 404,16,16,0
1462,23-02-1955,"Salisbury,  Zimbabwe",Central African Airways,Douglas DC-3,1,26,0
1463,26-02-1955,"Formosa, Argentina",de Havilland Dove,?,7,NA,NA
1464,06-03-1955,"Vitoria da Conquista, Brazil",REAL,Douglas DC-3,5,21,0
1465,07-03-1955,"Near Cuidad de Valles, Mexic",Lockheed Loadstar,?,7,NA,NA
1466,08-03-1955,"Mascota, Mexico",Mexicana,Douglas DC-3,26,26,0
1467,09-03-1955,"Trujillo, Colombia",AVIANCA,Douglas C-47A,8,8,0
1468,20-03-1955,"Springfield, Missouri",American Airlines,Convair CV-240-0,13,35,0
1469,22-03-1955,"Oahu, Hawaii",Military - U.S. Navy,Douglas R6D-1 (C-118B),66,66,0
1470,26-03-1955,Off the Oregon coast,Pan American World Airways,Boeing 377 Stratocruiser 10-26,4,23,0
1471,02-04-1955,"Off Pensacola, Florida",Aaxico Airlines,Curtiss C-46A,2,2,0
1472,04-04-1955,"Islip, New York",United Air Lines,Douglas DC-6,3,3,0
1473,11-04-1955,"Off Great Natuna Island, Sarawak",Air India,Lockheed 749A Constellation,19,19,0
1474,18-04-1955,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,de Havilland DH-114 Heron 1B,12,14,0
1475,18-05-1955,"Mt. Kilimanjaro, Kenya",East African Airways,Douglas DC-3,20,20,0
1476,21-05-1955,"Off Barcelona, Venezuela",Linea Aeropostal Venezolana,Douglas C-47-DL,4,16,0
1477,26-05-1955,"Edmonton, Alberta, Canada",Associated Airways,Avro 685 York C-1,2,2,0
1478,03-06-1955,"Fort Lamy, Cameroon",Union A????romaritime de Transport,Douglas C-54A,3,3,0
1479,16-06-1955,"Near Asuncion, Paraguay",Panair do Brasil,Lockheed 049-46-21 Constellation,16,24,0
1480,18-06-1955,"Leon, Mexico",Tigres Voladores,Curtiss C-46,18,39,0
1481,14-07-1955,"Oaxaca, Mexico",Lineas Areas Unidas,Douglas DC-2-243,22,22,0
1482,17-07-1955,"Chicago, Illinois",Braniff Airlines,Convair CV-340-32,22,43,0
1483,27-07-1955,"Near Petrich, Bulgaria",El Al,Lockheed 049 Constellation,58,58,0
1484,04-08-1955,"Fort Leonard Wood, Missouri",American Airlines,Convair CV-240-0,30,30,0
1485,05-08-1955,"Near Voronezh, Russia",Aeroflot,Aeroflot,25,25,0
1486,11-08-1955,"Near Edelweiler, West Germany",Military - U.S. Air Force / Military - U.S. Air Force,Fairchild C119G / Fairchild C119G,66,66,0
1487,26-08-1955,"Caparao Mountain, Brazil",Cruzeiro,Douglas DC-3,13,13,0
1488,30-08-1955,"Simra, Nepal",Kalinga Airlines,Douglas C-47A,2,3,0
1489,02-09-1955,"Lanywa, Burma (Myanmar)",Union of Burma Airways,Douglas DC-3,9,9,0
1490,08-09-1955,"Burbank, California",Currey Air Transport,Douglas DC-3,2,33,1
1491,10-09-1955,"Near Banyo, Cameroon",Societe France Hydro,Latecoere 631,16,16,0
1492,17-09-1955,"Near Thorhild, Alberta, Canada",Pacific Western Airlines,Bristol 170 Freighter 31,2,6,0
1493,21-09-1955,"Idris, Libya",British Overseas Airways,Canadair C-4 Argonaut,15,47,0
1494,24-09-1955,"Pacific Ocean (1,000 miles west of Honolulu, HI)",Flying Tiger Line,Douglas C-54A,3,5,0
1495,29-09-1955,"Yellowknife, Northwest Territory, Canada",Associated Airways,Avro 685 York C-1,1,2,0
1496,02-10-1955,"Pico Oiriruma-Vinac, Peru",Faucett,Douglas C54A,19,35,0
1497,06-10-1955,"Near Centennial, Wyoming",United Air Lines,Douglas DC-4,66,66,0
1498,10-10-1955,"Near Vienna, Austria",JAT Yugoslav Airlines,Convair CV-340-58,7,29,0
1499,01-11-1955,"Longmont, Colorado",United Air Lines,Douglas DC-6B,44,44,0
1500,17-11-1955,"Seattle, Washingon",Peninsular,Douglas C-54,28,74,0
1501,17-11-1955,"Near Las Vegas, Nevada",Military - U.S. Air Force,Douglas MC-54M,14,14,0
1502,20-11-1955,"Iwo Jima, Japan",Military - US Air Force,Douglas C124-DL Globemaster II,10,11,0
1503,30-11-1955,"Near Ballico, California",Military - U.S. Air Force,Boeing RB-52B,10,10,0
1504,01-12-1955,"Belem, Brazil",Cruzeiro,Douglas DC-3,6,6,0
1505,09-12-1955,"Khabarovsk Territory, Russia",Aeroflot,Li-2,21,21,0
